user_id,gate,gamerounds_sum,retention_day,retention_week
116,30,3,FALSE,FALSE
337,30,38,TRUE,FALSE
377,50,165,TRUE,FALSE
483,50,1,FALSE,FALSE
488,50,179,TRUE,TRUE
540,50,187,TRUE,TRUE
1066,30,0,FALSE,FALSE
1444,50,2,FALSE,FALSE
1574,50,108,TRUE,TRUE
1587,50,153,TRUE,FALSE
1842,50,3,FALSE,TRUE
2101,30,0,FALSE,FALSE
2132,50,30,TRUE,FALSE
2179,30,39,TRUE,FALSE
2218,30,305,TRUE,TRUE
2382,30,73,TRUE,FALSE
2392,30,14,TRUE,FALSE
2451,30,204,TRUE,TRUE
2482,30,108,TRUE,TRUE
2502,50,1,FALSE,FALSE
2530,50,9,TRUE,FALSE
2534,30,5,TRUE,FALSE
2695,50,45,TRUE,FALSE
2729,30,105,FALSE,TRUE
2829,30,4,FALSE,FALSE
2963,30,3,FALSE,FALSE
3095,30,0,FALSE,FALSE
3132,50,80,TRUE,TRUE
3186,50,4,FALSE,FALSE
3199,30,5,FALSE,FALSE
3204,50,53,TRUE,TRUE
3413,30,37,TRUE,FALSE
3690,30,13,TRUE,FALSE
3696,30,50,FALSE,FALSE
3993,50,202,TRUE,TRUE
4076,50,0,FALSE,FALSE
4162,30,23,FALSE,FALSE
4176,30,0,FALSE,FALSE
4283,30,103,FALSE,FALSE
4594,30,27,FALSE,FALSE
4653,50,15,FALSE,FALSE
4881,30,0,FALSE,FALSE
4902,50,1,FALSE,FALSE
4916,50,49,TRUE,FALSE
4918,30,7,FALSE,FALSE
4929,30,386,TRUE,TRUE
4945,50,25,TRUE,FALSE
5066,30,1,FALSE,FALSE
5215,30,13,TRUE,FALSE
5286,30,12,TRUE,FALSE
5345,50,6,FALSE,FALSE
5479,30,25,TRUE,FALSE
5550,30,29,TRUE,FALSE
5661,30,136,TRUE,FALSE
5712,30,105,TRUE,TRUE
5920,50,10,TRUE,FALSE
5943,50,76,FALSE,FALSE
